what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1441099292243
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1441099292243
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1441099292243
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1441099292243
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1441099292243
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1441099292243
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1441099292243
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1441099292243
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1441099292259
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1441099292259
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1441099292259
os,sysinfo,,,"win32",1441099292259
arch,sysinfo,,,"x86",1441099292259
ws,sysinfo,,,"win32",1441099292259
locale,sysinfo,,,"en_IN",1441099292259
processors,sysinfo,,,"2",1441099292259
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1441099292259
java.runtime.version,sysinfo,,,"1.8.0_45-b15",1441099292259
java.specification.name,sysinfo,,,"Java Platform API Specification",1441099292259
java.specification.vendor,sysinfo,,,"Oracle Corporation",1441099292259
java.specification.version,sysinfo,,,"1.8",1441099292259
java.vendor,sysinfo,,,"Oracle Corporation",1441099292259
java.version,sysinfo,,,"1.8.0_45",1441099292259
java.vm.info,sysinfo,,,"mixed mode",1441099292259
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1441099292259
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1441099292259
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1441099292259
java.vm.specification.version,sysinfo,,,"1.8",1441099292259
java.vm.vendor,sysinfo,,,"Oracle Corporation",1441099292259
java.vm.version,sysinfo,,,"25.45-b02",1441099292259
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1441099293585
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1441099333953
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1441099334047
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1441099349607
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1441099349607
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1441099349623
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1441099349623
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1441099349654
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1441099349669
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1441099349794
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1441099357895
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1441099357926
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1441099358004
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441099364323
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1441099364479
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441099395109
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1441099404647
started,bundle,org.eclipse.wst.server.core,1.1.303.v20110816_1717,"org.eclipse.wst.server.core",1441099407131
started,bundle,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui",1441099407162
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1441099407162
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1441099407224
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1441099407240
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1441099407255
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1441099407255
started,bundle,org.eclipse.wst.common.modulecore,1.2.101.v201108231700,"org.eclipse.wst.common.modulecore",1441099407271
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1441099407287
started,bundle,org.eclipse.wst.jsdt.core,1.1.101.v201108151912,"org.eclipse.wst.jsdt.core",1441099408691
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441099413404
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441099426009
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441099435338
started,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1441099448432
started,bundle,org.eclipse.pde.core,3.7.1.v20110822-2108,"org.eclipse.pde.core",1441099448478
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1441099448572
started,bundle,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui",1441099448806
