what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1441097589653
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1441097589921
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1441097589983
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1441097593649
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441097596493
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441098070036
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441098075756
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441098101264
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441098112964
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441098219688
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441098236515
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441098249376
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.200.v201103311536,"org.eclipse.wst.common.project.facet.ui",1441098281066
started,bundle,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui",1441098281066
started,bundle,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.jpa.ui",1441098281066
started,bundle,org.eclipse.wst.server.core,1.1.303.v20110816_1717,"org.eclipse.wst.server.core",1441098282298
started,bundle,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui",1441098282330
started,bundle,org.eclipse.jpt.jpa.db,2.0.0.v201105030000,"org.eclipse.jpt.jpa.db",1441098282793
started,bundle,org.eclipse.jst.common.frameworks,1.1.500.v201104081500,"org.eclipse.jst.common.frameworks",1441098283277
started,bundle,org.eclipse.jst.common.project.facet.ui,1.4.200.v201008182133,"org.eclipse.jst.common.project.facet.ui",1441098284119
started,bundle,org.eclipse.datatools.connectivity,1.2.3.v201108101135,"org.eclipse.datatools.connectivity",1441098284993
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441098285071
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441098384905
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441098393313
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441098414057
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1441098414260
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1441098414400
opened,view,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1441098414650
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1441098414681
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1441098414696
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1441098416428
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1441098416590
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441098416964
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441098417779
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441098426278
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441098431379
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1441098442711
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441098443865
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441098445129
